ms-evento-service  | 
ms-evento-service  |   .   ____          _            __ _ _
ms-evento-service  |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
ms-evento-service  | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
ms-evento-service  |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
ms-evento-service  |   '  |____| .__|_| |_|_| |_\__, | / / / /
ms-evento-service  |  =========|_|==============|___/=/_/_/_/
ms-evento-service  | 
ms-evento-service  |  :: Spring Boot ::                (v3.5.6)
ms-evento-service  | 
ms-evento-service  | 2026-06-18T22:55:28.474Z  INFO 1 --- [ms-events-service] [           main] c.e.m.MsEventoServiceApplication         : Starting MsEventoServiceApplication v0.0.1-SNAPSHOT using Java 17.0.19 with PID 1 (/app/app.jar started by root in /app)
ms-evento-service  | 2026-06-18T22:55:28.502Z  INFO 1 --- [ms-events-service] [           main] c.e.m.MsEventoServiceApplication         : The following 1 profile is active: "prod"
ms-evento-service  | 2026-06-18T22:55:29.129Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Fetching config from server at : http://config-server:7075
ms-evento-service  | 2026-06-18T22:55:29.133Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Located environment: name=application, profiles=[default], label=null, version=null, state=null
ms-evento-service  | 2026-06-18T22:55:29.134Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Fetching config from server at : http://localhost:7075
ms-evento-service  | 2026-06-18T22:55:29.134Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Exception on Url - http://localhost:7075:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:7075/ms-events-service/default": Connection refused. Will be trying the next url if available
ms-evento-service  | 2026-06-18T22:55:29.134Z  WARN 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Could not locate PropertySource ([ConfigServerConfigDataResource@742d4e15 uris = array<String>['http://root:123456@localhost:7075'], optional = true, profiles = 'default']): I/O error on GET request for "http://localhost:7075/ms-events-service/default": Connection refused
ms-evento-service  | 2026-06-18T22:55:29.135Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Fetching config from server at : http://config-server:7075
ms-evento-service  | 2026-06-18T22:55:29.135Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Located environment: name=ms-events-service, profiles=[prod], label=null, version=null, state=null
ms-evento-service  | 2026-06-18T22:55:29.135Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Fetching config from server at : http://config-server:7075
ms-evento-service  | 2026-06-18T22:55:29.135Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Located environment: name=ms-events-service, profiles=[default], label=null, version=null, state=null
ms-evento-service  | 2026-06-18T22:55:29.136Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Fetching config from server at : http://localhost:7075
ms-evento-service  | 2026-06-18T22:55:29.136Z  INFO 1 --- [ms-events-service] [           main] o.s.c.c.c.ConfigServerConfigDataLoader   : Exception on Url - http://localhost:7075:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:7075/ms-events-service/prod": Connection refused. Will be trying the next url if available
